Label,  Description,           Package,    Part Number,          Required?,    Est Cost,     Comment
-,      IPS 2.0 circuit board, -,          -,                    Yes,          50.00,        -
U9,     SCA 0.0 circuit board, -,          -,                    Yes,              0,        Cost is in the SCA bill of materials.
C1,     10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C2,     10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C3,     0.1uF Ceramic,         0805,       C0805C104K3RACTU,     Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C4,     1uF Ceramic,           0805,       C0805C105J4RACTU,     Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C5,     10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C6,     10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C7,     10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C8,     10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C9,     10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C10,    10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C11,    10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C12,    10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C13,    10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
C14,    10uF Ceramic,          0805,       C0805C106J8RAC,       Yes,           0.25,        X7R or better. 5% or smaller. 10 VDC or higher rating.
D1,     LED - any color,       0805,       -,                    No,            0.50,        Any SMD LED in an 0805 package.
D2,     LED - any color,       0805,       -,                    No,            0.50,        Any SMD LED in an 0805 package.
D3,     LED - any color,       0805,       -,                    No,            0.50,        Any SMD LED in an 0805 package.
D4,     LED - any color,       0805,       -,                    No,            0.50,        Any SMD LED in an 0805 package.
D5,     LED - any color,       0805,       -,                    No,            0.50,        Any SMD LED in an 0805 package.
D6,     LED - any color,       0805,       -,                    No,            0.50,        Any SMD LED in an 0805 package.
D7,     LED - any color,       0805,       -,                    No,            0.50,        Any SMD LED in an 0805 package.
J1,     Barrel Jack,           -,          -,                    Yes,           1.00,        Any breadboard compatible should work.
J2,     Ethernet Jack,         -,          Cetus J1B1211CCD,     No,            5.00,        Header that comes in Teensy 4.1 Ethernet kit.  Only install if using Ethernet.
U13,    MIDI connector 5 pin,  -,          -,                    Yes,           1.00,        Breadboard compatible pin spacings (0.1 inch).
J3,     1x4 pin female 0.1in,  -,          -,                    No,            0.08,        Optional for a larger SCA card.
J47,    1x7 pin female 0.1in,  -,          -,                    No,            0.14,        Optional for a larger SCA card.
J48,    1x3 pin female 0.1in,  -,          -,                    No,            0.06,        Optional for a larger SCA card.
J11,    1x4 pin female 0.1in,  -,          -,                    No,            0.08,        Install if using display.
U12,    1x20 pin female 0.1in, -,          -,                    No,            0.40,        Install if using display.
J10,    1x2 pin male 0.1in,    -,          -,                    Yes,           0.04,        Install if need CAN Bus for board to board communication.
J12,    1x2 pin male 0.1in,    -,          -,                    Yes,           0.04,        For external power safety.
J46,    1x6 pin male 0.1in,    -,          -,                    Yes,           0.12,        Required for pedals.
-,      2x3 pin male 2mm,      -,          57102-S08-03LF,       No,            1.00,        Solder to Teensy for Ethernet connection.  2mm pitch.
-,      2x3 pin female 2mm,    -,          M22-7140342,          No,            1.50,        Solder to PCB for Ethernet connection.  2mm pitch.
-,      2x3 pin female 2mm,    -,          M22-7140342,          No,            1.50,        Stack on soldered 2x3 pin female 2mm for Ethernet connection.  2mm pitch.
